Date,Product,Category,Supplier,Region,Unit Cost,Selling Price,Weekly Demand,Inventory,Lead Time (days),Delay %,Reorder Point,Safety Stock,Shipping Cost,On-time Delivery %,Stockout Flag,
1/14/2024,HP Pavilion,Laptop,HP Supply Chain,Vietnam,540,799,62,470,16,3,216,74,7,97,NO,
1/14/2024,Gaming Laptop,Laptop,Taiwan Tech Supply,Taiwan,1100,1599,147,295,24,9,680,176,9,91,YES,
1/14/2024,iPad Air,Tablet,Foxconn,China,430,699,83,610,17,6,301,100,8,94,NO,
1/14/2024,AirPods Pro,Accessory,Foxconn,China,120,249,146,850,12,12,425,175,8,88,NO,
1/14/2024,Sony Headphones,Accessory,Sony Electronics,Japan,150,299,206,520,15,3,689,247,6,97,YES,
1/14/2024,Google Pixel 8,Phone,Google Supply,Vietnam,600,849,120,450,19,2,470,144,7,98,YES,
1/14/2024,AirPods 3,Accessory,Foxconn,China,100,199,121,300,13,7,370,145,8,93,YES,
1/14/2024,Dell XPS 15,Laptop,Dell Manufacturing,USA,600,1399,115,230,12,3,335,138,5,97,YES,
1/14/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,242,500,13,5,740,290,8,95,YES,
1/14/2024,MacBook Pro,Laptop,Foxconn,China,1200,1699,45,140,18,6,170,54,8,94,YES,
1/14/2024,Lenovo ThinkPad,Laptop,Lenovo Manufacturing,China,650,999,41,280,16,8,143,49,8,92,NO,
1/21/2024,iPhone 15,Phone,Foxconn,China,720,999,271,760,18,2,1022,325,8,98,YES,
1/21/2024,Samsung Galaxy S24,Phone,Samsung Electronics,South Korea,650,899,51,690,14,8,163,61,6,92,NO,
1/21/2024,MacBook Air,Laptop,Foxconn,China,980,1299,137,380,21,10,575,164,8,90,YES,
1/21/2024,Dell XPS 13,Laptop,Dell Manufacturing,USA,870,1199,59,310,10,8,155,71,5,92,NO,
1/21/2024,HP Pavilion,Laptop,HP Supply Chain,Vietnam,540,799,84,440,16,6,293,101,7,94,NO,
1/21/2024,Gaming Laptop,Laptop,Taiwan Tech Supply,Taiwan,1100,1599,129,270,24,12,597,155,9,88,YES,
1/21/2024,iPad Air,Tablet,Foxconn,China,430,699,52,580,17,3,189,62,8,97,NO,
1/21/2024,AirPods Pro,Accessory,Foxconn,China,120,249,227,820,12,5,662,272,8,95,NO,
1/21/2024,Sony Headphones,Accessory,Sony Electronics,Japan,150,299,54,500,15,11,181,65,6,89,NO,
1/21/2024,Google Pixel 8,Phone,Google Supply,Vietnam,600,849,69,430,19,6,270,83,7,94,NO,
1/21/2024,AirPods 3,Accessory,Foxconn,China,100,199,93,280,18,2,351,112,8,98,YES,
1/21/2024,Dell XPS 15,Laptop,Dell Manufacturing,USA,600,1399,35,210,12,5,102,42,5,95,NO,
1/21/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,278,470,10,7,731,334,8,93,YES,
1/21/2024,MacBook Pro,Laptop,Foxconn,China,1200,1699,118,160,19,2,462,142,8,98,YES,
1/21/2024,Lenovo ThinkPad,Laptop,Lenovo Manufacturing,China,650,999,122,260,19,3,478,146,8,97,YES,
1/22/2024,iPad Pro,Tablet,Foxconn,China,550,899,53,50,17,8,192,64,8,92,YES,
1/23/2024,iPhone 15,Phone,Foxconn,China,720,999,108,720,15,7,361,130,8,93,NO,
1/24/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,76,330,9,7,189,91,8,93,NO,
1/25/2024,Sony Headphones,Accessory,Sony Electronics,Japan,150,299,177,320,13,7,541,212,6,93,YES,
1/28/2024,Sony Headphones,Accessory,Sony Electronics,Japan,150,299,239,130,19,2,936,287,6,98,YES,
1/29/2024,Asus Zenbook 5,Laptop,ASUS Manufacturing,China,450,799,100,30,19,2,391,120,8,98,YES,
1/30/2024,iPhone 15,Phone,Foxconn,China,720,999,97,540,17,11,352,116,8,89,NO,
1/31/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,79,350,13,7,242,95,8,93,NO,
2/1/2024,iPad Air,Tablet,Foxconn,China,430,699,133,470,17,12,483,160,8,88,YES,
2/2/2024,Sony Headphones,Accessory,Sony Electronics,Japan,150,299,295,65,17,6,1070,354,6,94,YES,
2/2/2024,iPhone 15 Pro,Phone,Foxconn,China,840,1199,148,0,13,4,452,178,8,96,YES,
2/2/2024,HP Pavilion,Laptop,HP Supply Chain,Vietnam,540,799,116,180,15,12,388,139,7,88,YES,
2/2/2024,Airpods Pro,Accessory,Foxconn,China,120,249,63,650,13,3,193,76,8,97,NO,
2/2/2024,Bose Soundlink,Speaker,Synnex,Malaysia,140,190,25,20,19,5,98,30,6,95,YES,
2/2/2024,Beats Studio Pro,Headphones,Foxconn,Vietnam,245,469,87,135,6,6,179,104,7,94,YES,
2/2/2024,Logitech MX Master 4,Mouse,Quanta,China,79,159,109,150,21,8,458,131,8,92,YES,
2/2/2024,Beats Fit Pro,Earbuds,Foxconn,Vietnam,140,249,212,140,11,12,588,254,7,88,YES,
2/4/2024,iPhone 15,Phone,Foxconn,China,720,999,284,350,11,6,787,341,8,94,YES,
2/4/2024,Samsung Galaxy S24,Phone,Samsung Electronics,South Korea,650,899,143,510,11,4,396,172,6,96,NO,
2/4/2024,MacBook Air,Laptop,Foxconn,China,980,1299,31,300,12,5,90,37,8,95,NO,
2/4/2024,Dell XPS 13,Laptop,Dell Manufacturing,USA,870,1199,142,230,13,8,434,170,5,92,YES,
2/4/2024,HP Pavilion,Laptop,HP Supply Chain,Vietnam,540,799,26,120,6,7,53,31,7,93,NO,
2/4/2024,Gaming Laptop,Laptop,Taiwan Tech Supply,Taiwan,1100,1599,109,200,19,11,427,131,9,89,YES,
2/4/2024,iPad Air,Tablet,Foxconn,China,430,699,152,310,6,5,313,182,8,95,YES,
2/4/2024,AirPods Pro,Accessory,Foxconn,China,120,249,40,430,17,5,145,48,8,95,NO,
2/4/2024,Sony Headphones,Accessory,Sony Electronics,Japan,150,299,170,40,15,9,568,204,6,91,YES,
2/4/2024,Google Pixel 8,Phone,Google Supply,Vietnam,600,849,103,315,17,7,374,124,7,93,YES,
2/4/2024,AirPods 3,Accessory,Foxconn,China,100,199,72,120,15,6,241,86,8,94,YES,
2/4/2024,Dell XPS 15,Laptop,Dell Manufacturing,USA,600,1399,135,150,6,6,278,162,5,94,YES,
2/4/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,141,180,12,4,411,169,8,96,YES,
2/4/2024,MacBook Pro,Laptop,Foxconn,China,1200,1699,88,100,15,12,294,106,8,88,YES,
2/4/2024,Lenovo ThinkPad,Laptop,Lenovo Manufacturing,China,650,999,123,175,9,5,306,148,8,95,YES,
2/4/2024,Lenovo IdeaPad,Laptop,Lenovo Manufacturing,China,550,899,82,160,9,8,204,98,8,92,YES,
2/4/2024,iPad Pro,Tablet,Foxconn,China,550,899,67,100,6,4,138,80,8,96,YES,
2/4/2024,Bose Soundlink,Speaker,Synnex,Malaysia,140,190,10,200,15,10,33,12,6,90,NO,
2/4/2024,Beats Studio Pro,Headphones,Foxconn,Vietnam,245,469,100,60,12,8,291,120,7,92,YES,
2/4/2024,Logitech MX Master 4,Mouse,Quanta,China,79,159,269,90,19,5,1053,323,8,95,YES,
2/11/2024,Samsung Galaxy S24 Ultra,Phone,Samsung Electronics,South Korea,820,1299,180,260,12,3,525,216,6,97,YES,
2/11/2024,Google Pixel 8 Pro,Phone,Google Supply,Vietnam,720,1099,148,380,9,7,368,178,7,93,NO,
2/11/2024,iPhone SE,Phone,Foxconn,India,420,699,168,210,12,3,490,202,6,97,YES,
2/11/2024,OnePlus 12,Phone,BBK Electronics,China,540,799,226,195,9,10,562,271,8,90,YES,
2/11/2024,Nothing Phone 2,Phone,Nothing Tech,China,410,699,125,150,12,3,364,150,8,97,YES,
2/11/2024,Mac Mini,Desktop,Foxconn,China,650,999,31,90,15,10,104,37,8,90,YES,
2/11/2024,"iMac 24""",Desktop,Foxconn,China,1100,1599,35,240,12,11,102,42,8,89,NO,
2/11/2024,HP Envy Laptop,Laptop,HP Supply Chain,Vietnam,620,999,60,175,9,7,149,72,7,93,NO,
2/11/2024,Acer Swift 3,Laptop,Acer Manufacturing,Taiwan,480,799,121,130,12,3,353,145,9,97,YES,
2/11/2024,Asus ROG Zephyrus,Gaming Laptop,ASUS Manufacturing,Taiwan,1300,1899,44,200,9,12,109,53,9,88,NO,
2/12/2024,Logitech Brio Webcam,Accessory,Quanta,China,90,199,88,25,12,8,256,106,8,92,YES,
2/18/2024,iPad Air,Tablet,Foxconn,China,430,699,64,250,15,10,214,77,8,90,NO,
2/18/2024,AirPods Pro,Accessory,Foxconn,China,120,249,225,350,10,4,591,270,8,96,YES,
2/18/2024,Sony Headphones,Accessory,Sony Electronics,Japan,150,299,138,35,9,4,343,166,6,96,YES,
2/18/2024,Google Pixel 8,Phone,Google Supply,Vietnam,600,849,209,290,15,9,699,251,7,91,YES,
2/18/2024,AirPods 3,Accessory,Foxconn,China,100,199,298,110,10,9,783,358,8,91,YES,
2/18/2024,Dell XPS 15,Laptop,Dell Manufacturing,USA,600,1399,39,140,15,9,130,47,5,91,NO,
2/18/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,81,150,9,12,201,97,8,88,YES,
2/18/2024,MacBook Pro,Laptop,Foxconn,China,1200,1699,34,80,13,10,104,41,8,90,YES,
2/18/2024,Lenovo ThinkPad,Laptop,Lenovo Manufacturing,China,650,999,128,160,15,7,428,154,8,93,YES,
2/18/2024,Lenovo IdeaPad,Laptop,Lenovo Manufacturing,China,550,899,108,140,9,7,268,130,8,93,YES,
2/18/2024,iPad Pro,Tablet,Foxconn,China,550,899,34,90,13,5,104,41,8,95,YES,
2/18/2024,Bose Soundlink,Speaker,Synnex,Malaysia,140,190,66,180,13,6,202,79,6,94,YES,
2/18/2024,Beats Studio Pro,Headphones,Foxconn,Vietnam,245,469,32,50,15,9,107,38,7,91,YES,
2/18/2024,Logitech MX Master 4,Mouse,Quanta,China,79,159,267,70,13,2,816,320,8,98,YES,
2/18/2024,Samsung Galaxy S24 Ultra,Phone,Samsung Electronics,South Korea,820,1299,176,240,9,8,437,211,6,92,YES,
2/18/2024,Google Pixel 8 Pro,Phone,Google Supply,Vietnam,720,1099,110,360,6,7,226,132,7,93,NO,
2/18/2024,iPhone SE,Phone,Foxconn,India,420,699,240,200,9,10,597,288,6,90,YES,
2/18/2024,Logitech Brio Webcam,Accessory,Quanta,China,90,199,93,20,6,2,191,112,8,98,YES,
2/25/2024,iPad Air,Tablet,Foxconn,China,430,699,141,180,15,7,471,169,8,93,YES,
2/25/2024,AirPods Pro,Accessory,Foxconn,China,120,249,100,280,9,4,249,120,8,96,NO,
2/25/2024,Sony Headphones,Accessory,Sony Electronics,Japan,150,299,183,10,6,9,376,220,6,91,YES,
2/25/2024,Google Pixel 8,Phone,Google Supply,Vietnam,600,849,263,220,17,5,954,316,7,95,YES,
2/25/2024,AirPods 3,Accessory,Foxconn,China,100,199,275,70,14,12,880,330,8,88,YES,
2/25/2024,Dell XPS 15,Laptop,Dell Manufacturing,USA,600,1399,115,90,15,9,384,138,5,91,YES,
2/25/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,233,80,12,2,679,280,8,98,YES,
2/25/2024,MacBook Pro,Laptop,Foxconn,China,1200,1699,101,30,9,8,251,121,8,92,YES,
2/25/2024,Lenovo ThinkPad,Laptop,Lenovo Manufacturing,China,650,999,114,120,6,3,235,137,8,97,YES,
2/25/2024,Lenovo IdeaPad,Laptop,Lenovo Manufacturing,China,550,899,58,90,15,2,194,70,8,98,YES,
2/25/2024,iPad Pro,Tablet,Foxconn,China,550,899,116,60,8,12,272,139,8,88,YES,
2/25/2024,Bose Soundlink,Speaker,Synnex,Malaysia,140,190,65,150,12,11,189,78,6,89,YES,
2/25/2024,Beats Studio Pro,Headphones,Foxconn,Vietnam,245,469,141,20,9,4,350,169,7,96,YES,
2/25/2024,Logitech MX Master 4,Mouse,Quanta,China,79,159,86,40,6,6,177,103,8,94,YES,
2/25/2024,Samsung Galaxy S24 Ultra,Phone,Samsung Electronics,South Korea,820,1299,187,200,13,8,572,224,6,92,YES,
2/25/2024,Google Pixel 8 Pro,Phone,Google Supply,Vietnam,720,1099,167,300,15,9,558,200,7,91,YES,
2/25/2024,iPhone SE,Phone,Foxconn,India,420,699,172,140,19,6,673,206,6,94,YES,
2/25/2024,Logitech Brio Webcam,Accessory,Quanta,China,90,199,83,10,9,2,206,100,8,98,YES,
2/25/2024,iPhone 15,Phone,Foxconn,China,720,999,285,150,6,6,586,342,8,94,YES,
2/25/2024,Samsung Galaxy S24,Phone,Samsung Electronics,South Korea,650,899,275,180,15,8,919,330,6,92,YES,
2/25/2024,Nintendo Switch OLED,Gaming Console,Nintendo Supply,Japan,280,399,98,20,30,5,538,118,6,95,YES,
2/29/2024,Logitech Brio Webcam,Accessory,Quanta,China,90,199,158,125,9,8,393,190,8,92,YES,
2/29/2024,OnePlus 12,Phone,BBK Electronics,China,540,799,91,130,7,6,200,109,8,94,YES,
2/29/2024,AirPods 3,Accessory,Foxconn,China,100,199,117,45,13,6,358,140,8,94,YES,
3/3/2024,iPhone 15 Pro,Phone,Foxconn,China,840,1199,75,120,6,3,154,90,8,97,YES,
3/3/2024,iPad Mini,Tablet,Foxconn,China,350,649,191,200,9,11,475,229,8,89,YES,
3/3/2024,Bose QuietComfort Ultra,Headphones,Synnex,Malaysia,260,429,144,100,12,8,420,173,6,92,YES,
3/3/2024,Beats Fit Pro,Earbuds,Foxconn,Vietnam,140,249,182,80,8,3,426,218,7,97,YES,
3/3/2024,Logitech G Pro X,Gaming Mouse,Quanta,Vietnam,65,149,34,60,15,7,114,41,7,93,YES,
3/3/2024,Samsung Galaxy S24 Ultra,Phone,Samsung Electronics,South Korea,820,1299,282,180,6,8,580,338,6,92,YES,
3/3/2024,Samsung Galaxy A54,Phone,Samsung Electronics,Vietnam,300,499,221,150,15,4,739,265,7,96,YES,
3/3/2024,Google Pixel 8 Pro,Phone,Google Supply,Vietnam,720,1099,79,280,8,9,185,95,7,91,NO,
3/3/2024,iPhone SE,Phone,Foxconn,India,420,699,289,130,15,5,966,347,6,95,YES,
3/3/2024,OnePlus 12,Phone,BBK Electronics,China,540,799,173,150,17,2,628,208,8,98,YES,
3/3/2024,Nothing Phone 2,Phone,Nothing Tech,China,410,699,198,120,12,11,577,238,8,89,YES,
3/3/2024,Mac Mini,Desktop,Foxconn,China,650,999,46,70,8,5,108,55,8,95,YES,
3/3/2024,"iMac 24""",Desktop,Foxconn,China,1100,1599,48,220,12,2,140,58,8,98,NO,
3/3/2024,HP Envy Laptop,Laptop,HP Supply Chain,Vietnam,620,999,115,140,15,4,384,138,7,96,YES,
3/3/2024,Acer Swift 3,Laptop,Acer Manufacturing,Taiwan,480,799,127,100,17,8,461,152,9,92,YES,
3/3/2024,Asus ROG Zephyrus,Gaming Laptop,ASUS Manufacturing,Taiwan,1300,1899,63,160,12,7,184,76,9,93,YES,
3/3/2024,Microsoft Surface Laptop,Laptop,Pegatron,China,900,1399,40,110,6,9,82,48,8,91,NO,
3/3/2024,Microsoft Surface Pro,Tablet,Pegatron,China,700,1099,42,90,12,7,122,50,8,93,YES,
3/3/2024,Samsung Galaxy Tab S9,Tablet,Samsung Electronics,Vietnam,500,899,153,200,15,3,511,184,7,97,YES,
3/3/2024,Amazon Fire Tablet,Tablet,Foxconn,China,120,199,92,250,8,7,216,110,8,93,NO,
3/3/2024,Sony WH-1000XM5,Headphones,Sony Electronics,Malaysia,210,399,47,90,12,10,137,56,6,90,YES,
3/3/2024,Bose 700 Headphones,Headphones,Synnex,Malaysia,300,499,33,80,17,11,120,40,6,89,YES,
3/3/2024,Beats Solo Pro,Headphones,Foxconn,Vietnam,200,349,150,70,8,5,351,180,7,95,YES,
3/3/2024,Logitech G915 Keyboard,Accessory,Quanta,China,200,349,145,60,6,10,298,174,8,90,YES,
3/3/2024,Logitech StreamCam,Accessory,Quanta,China,150,249,37,50,12,11,108,44,8,89,YES,
3/10/2024,iPhone 15 Pro,Phone,Foxconn,China,840,1199,221,90,17,3,802,265,8,97,YES,
3/10/2024,iPad Mini,Tablet,Foxconn,China,350,649,128,150,15,7,428,154,8,93,YES,
3/10/2024,Bose QuietComfort Ultra,Headphones,Synnex,Malaysia,260,429,87,70,12,11,254,104,6,89,YES,
3/10/2024,Beats Fit Pro,Earbuds,Foxconn,Vietnam,140,249,257,50,17,4,933,308,7,96,YES,
3/10/2024,Logitech G Pro X,Gaming Mouse,Quanta,Vietnam,65,149,121,40,12,4,353,145,7,96,YES,
3/10/2024,Samsung Galaxy S24 Ultra,Phone,Samsung Electronics,South Korea,820,1299,238,150,15,4,796,286,6,96,YES,
3/10/2024,Samsung Galaxy A54,Phone,Samsung Electronics,Vietnam,300,499,199,120,12,12,580,239,7,88,YES,
3/10/2024,Google Pixel 8 Pro,Phone,Google Supply,Vietnam,720,1099,59,260,8,4,138,71,7,96,NO,
3/10/2024,iPhone SE,Phone,Foxconn,India,420,699,273,120,6,12,562,328,6,88,YES,
3/10/2024,OnePlus 12,Phone,BBK Electronics,China,540,799,174,110,12,2,507,209,8,98,YES,
3/10/2024,Nothing Phone 2,Phone,Nothing Tech,China,410,699,289,90,17,11,1049,347,8,89,YES,
3/10/2024,Mac Mini,Desktop,Foxconn,China,650,999,46,50,8,11,108,55,8,89,YES,
3/10/2024,"iMac 24""",Desktop,Foxconn,China,1100,1599,36,180,15,3,120,43,8,97,NO,
3/10/2024,HP Envy Laptop,Laptop,HP Supply Chain,Vietnam,620,999,131,110,12,5,382,157,7,95,YES,
3/10/2024,Acer Swift 3,Laptop,Acer Manufacturing,Taiwan,480,799,100,80,11,7,277,120,9,93,YES,
3/10/2024,Asus ROG Zephyrus,Gaming Laptop,ASUS Manufacturing,Taiwan,1300,1899,85,140,12,10,248,102,9,90,YES,
3/10/2024,Microsoft Surface Laptop,Laptop,Pegatron,China,900,1399,48,70,17,3,174,58,8,97,YES,
3/10/2024,Microsoft Surface Pro,Tablet,Pegatron,China,700,1099,196,60,8,11,459,235,8,89,YES,
3/10/2024,Samsung Galaxy Tab S9,Tablet,Samsung Electronics,Vietnam,500,899,172,150,6,11,354,206,7,89,YES,
3/10/2024,Amazon Fire Tablet,Tablet,Foxconn,China,120,199,88,200,12,9,256,106,8,91,YES,
3/12/2024,Bose 700 Headphones,Headphones,Synnex,Malaysia,300,499,94,25,13,3,287,113,6,97,YES,
3/12/2024,HP Envy Laptop,Laptop,HP Supply Chain,Vietnam,620,999,91,85,8,9,213,109,7,91,YES,
3/17/2024,iPhone 15 Pro,Phone,Foxconn,China,840,1199,107,50,17,11,388,128,8,89,YES,
3/17/2024,iPad Mini,Tablet,Foxconn,China,350,649,61,110,8,7,143,73,8,93,YES,
3/17/2024,Bose QuietComfort Ultra,Headphones,Synnex,Malaysia,260,429,104,50,13,9,318,125,6,91,YES,
3/17/2024,Beats Fit Pro,Earbuds,Foxconn,Vietnam,140,249,228,30,17,7,827,274,7,93,YES,
3/17/2024,Logitech G Pro X,Gaming Mouse,Quanta,Vietnam,65,149,188,25,13,7,575,226,7,93,YES,
3/17/2024,Samsung Galaxy S24 Ultra,Phone,Samsung Electronics,South Korea,820,1299,236,120,8,8,553,283,6,92,YES,
3/17/2024,Samsung Galaxy A54,Phone,Samsung Electronics,Vietnam,300,499,158,90,8,2,370,190,7,98,YES,
3/17/2024,Google Pixel 8 Pro,Phone,Google Supply,Vietnam,720,1099,131,220,13,2,400,157,7,98,YES,
3/17/2024,iPhone SE,Phone,Foxconn,India,420,699,223,90,17,4,809,268,6,96,YES,
3/17/2024,OnePlus 12,Phone,BBK Electronics,China,540,799,111,80,12,4,323,133,8,96,YES,
3/17/2024,Nothing Phone 2,Phone,Nothing Tech,China,410,699,111,70,8,12,260,133,8,88,YES,
3/17/2024,Mac Mini,Desktop,Foxconn,China,650,999,45,30,13,9,138,54,8,91,YES,
3/17/2024,"iMac 24""",Desktop,Foxconn,China,1100,1599,32,150,17,7,116,38,8,93,NO,
3/17/2024,HP Envy Laptop,Laptop,HP Supply Chain,Vietnam,620,999,125,80,15,2,418,150,7,98,YES,
3/17/2024,Acer Swift 3,Laptop,Acer Manufacturing,Taiwan,480,799,87,60,12,2,254,104,9,98,YES,
3/17/2024,Asus ROG Zephyrus,Gaming Laptop,ASUS Manufacturing,Taiwan,1300,1899,84,110,15,8,281,101,9,92,YES,
3/17/2024,Microsoft Surface Laptop,Laptop,Pegatron,China,900,1399,108,50,13,6,330,130,8,94,YES,
3/17/2024,Microsoft Surface Pro,Tablet,Pegatron,China,700,1099,37,40,17,11,134,44,8,89,YES,
3/17/2024,Samsung Galaxy Tab S9,Tablet,Samsung Electronics,Vietnam,500,899,105,120,8,8,246,126,7,92,YES,
3/17/2024,Amazon Fire Tablet,Tablet,Foxconn,China,120,199,176,170,13,8,538,211,8,92,YES,
3/24/2024,iPhone 15,Phone,Foxconn,China,720,999,264,120,12,9,769,317,8,91,YES,
3/24/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,268,80,8,8,628,322,8,92,YES,
3/24/2024,iPhone 15 Pro,Phone,Foxconn,China,840,1199,199,50,12,11,580,239,8,89,YES,
3/24/2024,iPhone SE,Phone,Foxconn,India,420,699,215,90,8,12,504,258,6,88,YES,
3/24/2024,iPad Air,Tablet,Foxconn,China,430,699,150,150,12,12,437,180,8,88,YES,
3/24/2024,iPad Mini,Tablet,Foxconn,China,350,649,132,110,13,12,404,158,8,88,YES,
3/24/2024,iPad Pro,Tablet,Foxconn,China,550,899,160,60,8,6,375,192,8,94,YES,
3/24/2024,"iPad Pro 11""",Tablet,Foxconn,China,700,999,171,100,15,9,572,205,8,91,YES,
3/24/2024,"iPad Pro 12.9""",Tablet,Foxconn,China,800,1199,44,130,13,2,135,53,8,98,YES,
3/24/2024,MacBook Air,Laptop,Foxconn,China,980,1299,90,80,13,2,275,108,8,98,YES,
3/24/2024,MacBook Pro,Laptop,Foxconn,China,1200,1699,100,70,13,4,306,120,8,96,YES,
3/24/2024,Dell XPS 13,Laptop,Dell Manufacturing,USA,870,1199,51,90,13,2,156,61,5,98,YES,
3/24/2024,Dell XPS 15,Laptop,Dell Manufacturing,USA,600,1399,56,60,8,3,131,67,5,97,YES,
3/24/2024,HP Pavilion,Laptop,HP Supply Chain,Vietnam,540,799,91,85,12,10,265,109,7,90,YES,
3/24/2024,HP Envy Laptop,Laptop,HP Supply Chain,Vietnam,620,999,136,70,20,10,552,163,7,90,YES,
3/24/2024,Lenovo ThinkPad,Laptop,Lenovo Manufacturing,China,650,999,148,100,17,5,537,178,8,95,YES,
3/24/2024,Lenovo IdeaPad,Laptop,Lenovo Manufacturing,China,550,899,148,90,30,8,812,178,8,92,YES,
3/24/2024,Asus Zenbook 5,Laptop,ASUS Manufacturing,China,450,799,64,65,8,4,150,77,8,96,YES,
3/24/2024,Asus ROG Zephyrus,Gaming Laptop,ASUS Manufacturing,Taiwan,1300,1899,76,110,20,10,308,91,9,90,YES,
3/24/2024,Acer Swift 3,Laptop,Acer Manufacturing,Taiwan,480,799,130,60,14,10,416,156,9,90,YES,
3/24/2024,Mac Mini,Desktop,Foxconn,China,650,999,44,50,20,7,179,53,8,93,YES,
3/24/2024,"iMac 24""",Desktop,Foxconn,China,1100,1599,16,80,17,10,58,19,8,90,NO,
3/24/2024,Bose Soundlink,Speaker,Synnex,Malaysia,140,190,67,90,15,12,224,80,6,88,YES,
3/24/2024,Bose QuietComfort Ultra,Headphones,Synnex,Malaysia,260,429,138,40,8,6,323,166,6,94,YES,
3/24/2024,Beats Studio Pro,Headphones,Foxconn,Vietnam,245,469,130,50,30,8,713,156,7,92,YES,
3/24/2024,Beats Fit Pro,Earbuds,Foxconn,Vietnam,140,249,271,30,12,5,790,325,7,95,YES,
3/25/2024,Logitech MX Master 4,Mouse,Quanta,China,79,159,125,70,17,9,454,150,8,91,YES,
3/25/2024,Logitech G Pro X,Gaming Mouse,Quanta,Vietnam,65,149,250,40,15,2,836,300,7,98,YES,
3/25/2024,Logitech Brio Webcam,Accessory,Quanta,China,90,199,127,25,8,6,298,152,8,94,YES,
3/25/2024,Logitech G915 Keyboard,Accessory,Quanta,China,200,349,115,35,17,12,417,138,8,88,YES,
3/31/2024,iPad Mini,Tablet,Foxconn,China,350,649,198,110,12,12,577,238,8,88,YES,
3/31/2024,AirPods Pro,Accessory,Foxconn,China,120,249,40,310,17,9,145,48,8,91,NO,
3/31/2024,MacBook Air,Laptop,Foxconn,China,980,1299,47,85,17,10,171,56,8,90,YES,
3/31/2024,Google Pixel 8 Pro,Phone,Google Supply,Vietnam,720,1099,58,240,8,10,136,70,7,90,NO,
3/31/2024,Beats Fit Pro,Earbuds,Foxconn,Vietnam,140,249,275,60,17,9,998,330,7,91,YES,
3/31/2024,iPhone SE,Phone,Foxconn,India,420,699,232,130,8,9,544,278,6,91,YES,
3/31/2024,Samsung Galaxy S24,Phone,Samsung Electronics,South Korea,650,899,255,160,12,4,743,306,6,96,YES,
3/31/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,168,75,17,10,610,202,8,90,YES,
3/31/2024,Dell XPS 15,Laptop,Dell Manufacturing,USA,600,1399,50,50,8,6,117,60,5,94,YES,
